osmnx_node_id,EMB000,EMB001,EMB000pooled,EMB001pooled,closeness_networkwide,betweenness_networkwide,closeness_egograph,betweenness_egograph,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg
1632846206,0.33677998,-0.9975333,0.13096821,-0.30409893,0.0177530336666359,0.0112815936646586,0.0949018963960266,0.0699749484232242,118.0,207.0,3.5084745762711864,11839.238,57.19438647342995,2.8983050847457625,102.0,8787.102,158.0,55.61456962025317,1.0115119741232288
1632846221,0.49127743,-0.7098429,0.11977173,-0.28437984,0.0165970545798258,0.0074746954237343,0.1048391495064239,0.2129629629629629,118.0,201.0,3.406779661016949,10844.075999999995,53.95062686567163,2.8813559322033897,102.0,8400.947,157.0,53.50921656050956,1.0176829967079897
1632846263,0.38300592,0.1459809,0.13042825,-0.33957955,0.0167050968827256,0.0050227172774802,0.0926874395010598,0.2152710902329223,132.0,235.0,3.560606060606061,13709.123999999998,58.336697872340416,2.9242424242424243,117.0,10091.336,179.0,56.376178770949714,1.0307646211776589
1632846270,0.12658133,0.999068,0.13157897,-0.31431124,0.0164993126671772,0.0008399531687892,0.0994594341974077,0.1199092182143029,119.0,206.0,3.46218487394958,11921.956999999997,57.87357766990289,2.9243697478991595,105.0,8845.427999999998,158.0,55.98372151898733,1.0324700860393383
1632846271,-0.35365406,0.7421049,0.027608462,-0.3609091,0.016229265492834,0.0,0.0938842596927046,0.0,100.0,168.0,3.36,9309.443,55.413351190476185,2.99,91.0,7041.099000000002,131.0,53.74884732824429,1.0322794779161426
1632846277,0.9495,0.99931085,0.048456762,-0.332958,0.0163357223619227,0.0006648213662996,0.1093120041617895,0.128870602577499,89.0,148.0,3.3258426966292136,8194.840000000004,55.37054054054057,2.955056179775281,79.0,6227.792,116.0,53.68786206896552,1.0342973680094774
1637886588,0.65709007,-0.8021446,0.4236677,-0.6746876,0.0167273154581551,0.0,0.142914308580575,0.0,52.0,114.0,4.384615384615385,7652.312999999998,67.12555263157893,2.9423076923076925,45.0,4322.487,64.0,67.538859375,1.0298680743298598
1642973410,0.7356874,0.5311748,0.7429779,-0.05164616,0.0167409237874091,0.0,0.3157894736842105,0.0,13.0,28.0,4.307692307692308,3230.69,115.3817857142857,2.6923076923076925,10.0,1615.3450000000005,14.0,115.38178571428575,1.00491458887617
1643072833,0.65843076,-0.8159473,-0.052779235,-0.27602422,0.01702940412537,0.0,0.0922489082969432,0.0,65.0,100.0,3.076923076923077,6917.986000000001,69.17986,2.953846153846154,61.0,5807.696000000001,84.0,69.1392380952381,1.027982224781538
1646431552,0.85529494,-0.8927127,0.104079165,-0.3178897,0.0179513410353263,0.0021208184608505,0.1373864231007088,0.1914122914122914,92.0,164.0,3.565217391304348,10099.553000000002,61.582640243902446,2.75,75.0,6963.135000000001,117.0,59.513974358974366,1.0203808934968817
